,sum,Price
2016-07-31,-0.36871403301912603,63947.0
2016-08-01,-0.4335038613239145,61963.0
2016-08-02,-0.3819602080325925,55731.0
2016-08-03,-0.3924965837746888,55527.0
2016-08-04,-0.3812722272861206,58002.0
2016-08-05,-0.3554699544741231,55979.0
2016-08-06,-0.3362105114550625,56609.0
2016-08-07,-0.3876847977079678,59229.0
2016-08-08,-0.3734188092494874,59452.0
2016-08-30,-0.4143380624232711,58318.0
2016-08-31,-0.3040617151288886,57494.0
2016-09-01,-0.4198490384092252,57695.0
2016-09-02,-0.36914213881316177,59584.0
2016-09-03,-0.3898246897701231,61472.0
2016-09-04,-0.33518735901895713,61354.0
2016-09-05,-0.4508052149267006,61213.0
2016-09-06,-0.3449190095273149,59406.0
2016-09-07,-0.2753669085393132,62213.0
2016-09-08,-0.40710242223764737,63862.0
2016-09-09,-0.3887999470153621,62794.0
2016-09-10,-0.3806924113289489,62087.0
2016-09-11,-0.3768481759744268,60276.0
2016-09-12,-0.4007296707428067,62091.0
2016-09-13,-0.4191664985032452,61074.0
2016-09-14,-0.3657290233546315,62867.0
2016-09-15,-0.4273331761176417,61575.0
2016-09-16,-0.363715739094253,61373.0
2016-09-17,-0.3247989213802477,62119.0
2016-09-18,-0.3359181898813695,60500.0
2016-09-19,-0.3991270750452752,61480.0
2016-09-20,-0.4204597839329301,59834.0
2016-09-21,-0.37968985494937374,58518.0
2016-09-22,-0.3489555311013691,58661.0
2016-09-23,-0.4141060870980045,59037.0
2016-09-24,-0.3920352022646323,60055.0
2016-09-25,-0.4028890268684671,59146.0
2016-09-26,-0.3972613667525131,60032.0
2016-09-27,-0.4140303407116107,60363.0
2016-09-28,-0.3658239793094424,60487.0
2016-09-29,-0.4285868456482675,61253.0
2016-09-30,-0.385690402515054,59446.0
2016-10-01,-0.42309105332591296,61793.0
2016-10-02,-0.3735781258295973,59504.0
2016-10-03,-0.44960060408347896,61022.0
2016-10-04,-0.41666860400525135,57448.0
2016-10-05,-0.3809625864084679,61091.0
2016-10-06,-0.3686915088140776,57732.0
2016-10-07,-0.35638840246524994,62467.0
2016-10-08,-0.4130268286277238,60715.0
2016-10-09,-0.3547473821267914,59880.0
2016-10-10,-0.3686473990859085,60373.0
2016-10-11,-0.3742835541294127,62881.0
2016-10-12,-0.3911331403550492,64827.0
2016-10-13,-0.43466683607211704,64110.0
2016-10-14,-0.39515758682900093,65591.0
2016-10-15,-0.3577201469996201,65711.0
2016-10-16,-0.3941942470654166,66281.0
2016-10-17,-0.3793421373804837,65641.0
2016-10-18,-0.33477035060764243,65962.0
2016-10-19,-0.3781784622991702,64817.0
2016-10-20,-0.3237080511903774,63890.0
2016-10-21,-0.4425746211805591,65351.0
2016-10-22,-0.34940691369352617,66033.0
2016-10-23,-0.3850067442200726,67504.0
2016-10-24,-0.3633912004315207,66643.0
2016-10-25,-0.3619829334656712,67668.0
2016-10-26,-0.3737878986259662,69829.0
2016-10-27,-0.3564844050182137,71439.0
2016-10-28,-0.4044450616938269,70904.0
2016-10-29,-0.4061958063628436,74966.0
2016-10-30,-0.3976647283693669,75624.0
2016-10-31,-0.37435895308963,72099.0
2016-11-01,-0.36069239840104667,70473.0
2016-11-02,-0.3693968270471795,76089.0
2016-11-03,-0.3047604247574321,76000.0
2016-11-04,-0.3980543118769732,72427.0
2016-11-05,-0.3718856367717271,72379.0
2016-11-06,-0.3888169593491416,73235.0
2016-11-07,-0.373378298074824,72665.0
2016-11-08,-0.3626586129860684,74778.0
2016-11-09,-0.3702218306490854,74983.0
2016-11-10,-0.38429518179751293,75416.0
2016-11-11,-0.3864849869401701,75844.0
2016-11-12,-0.3877415417156336,76024.0
2016-11-13,-0.3972880038161464,75261.0
2016-11-14,-0.36023182161543343,75497.0
2016-11-15,-0.3755163805095827,77887.0
2016-11-16,-0.35084262456998,78894.0
2016-11-17,-0.399917486479768,80039.0
2016-11-18,-0.36457607400834935,82791.0
2016-11-19,-0.3796853756558805,82878.0
2016-11-20,-0.3942557011929905,79437.0
2016-11-21,-0.4061155342463965,81192.0
2016-11-22,-0.3889926965945317,82584.0
2016-11-23,-0.40388274068542734,81664.0
2016-11-24,-0.3784764604740167,82960.0
2016-11-25,-0.3389121094084112,82873.0
2016-11-26,-0.4126840967309162,82425.0
2016-11-27,-0.4199367223876316,82249.0
2016-11-28,-0.3838883842796944,81477.0
2016-11-29,-0.3646287596313526,81475.0
2016-11-30,-0.4438248398997601,80161.0
2016-12-01,-0.3612571889270196,85711.0
2016-12-02,-0.3308506587266065,87216.0
2016-12-03,-0.42206331282316106,86317.0
2016-12-04,-0.3638950525936473,87128.0
2016-12-05,-0.3967935670233849,84778.0
2016-12-06,-0.3791915993390479,87262.0
2016-12-07,-0.3353046921135716,87083.0
2016-12-08,-0.33754647189939235,86590.0
2016-12-09,-0.4096355922371668,89008.0
2016-12-10,-0.38669698912803946,88421.0
2016-12-11,-0.4137291065404485,89011.0
2016-12-12,-0.31840352021399043,89207.0
2016-12-13,-0.3883355823993295,89402.0
2016-12-14,-0.3825649713956082,90959.0
2016-12-15,-0.3694432795594904,92228.0
2016-12-16,-0.3500015293996763,92445.0
2016-12-17,-0.3625138109131849,93393.0
2016-12-18,-0.3636931730922761,92139.0
2016-12-19,-0.4114254346160469,92544.0
2016-12-20,-0.37374495070587177,93483.0
2016-12-21,-0.3738862728070232,96314.0
2016-12-22,-0.3416011449482772,98431.0
2016-12-23,-0.3860574715769122,104410.0
2016-12-24,-0.3926790680393544,103488.0
2016-12-25,-0.3882870577157313,103346.0
2016-12-26,-0.4056153983031285,105593.0
2016-12-27,-0.3618737339129727,107088.0
2016-12-28,-0.3577878844952466,111750.0
2016-12-29,-0.3766681508139606,113740.0
2016-12-30,-0.3802282736341231,112143.0
2016-12-31,-0.3653907214588861,111316.0
2017-01-01,-0.3693324160726049,114101.0
2017-01-02,-0.37854497850683855,116707.0
2017-01-03,-0.3730272460504977,115396.0
2017-01-04,-0.3847374330170376,130010.0
2017-01-05,-0.3793538292358593,112744.0
2017-01-06,-0.3981888181730556,108571.0
2017-01-07,-0.3743769561011898,105381.0
2017-01-08,-0.3906403374920936,110455.0
2017-01-09,-0.3713198056220193,106400.0
2017-01-10,-0.3754229059289942,105266.0
2017-01-11,-0.4005814736861133,88836.0
2017-01-12,-0.36544705935226596,93497.0
2017-01-13,-0.376702725116598,93878.0
2017-01-14,-0.3739076289104099,91614.0
2017-01-15,-0.3646344494326784,92499.0
2017-01-16,-0.3492366534484186,94857.0
2017-01-17,-0.3659361229291375,102392.0
2017-01-18,-0.3926608755446305,99016.0
2017-01-19,-0.3555709499479729,103643.0
2017-01-20,-0.35096498902178225,103508.0
2017-01-21,-0.3235102272014473,105004.0
2017-01-22,-0.33159732294800626,104470.0
2017-01-23,-0.3653399010877429,103728.0
2017-01-24,-0.3769967390446027,101589.0
2017-01-25,-0.3280520599283845,100057.0
2017-01-26,-0.339329304968538,103490.0
2017-01-27,-0.3532312709306943,104000.0
2017-01-28,-0.3265073313098982,105252.0
2017-01-29,-0.3216512660659055,104916.0
2017-01-30,-0.34947849614943444,104284.0
2017-01-31,-0.3662066415305065,108192.0
2017-02-01,-0.3474313127366995,111019.0
2017-02-02,-0.3543380832110337,112163.0
2017-02-03,-0.3519655906793085,114659.0
2017-02-04,-0.34715106053733064,114385.0
2017-02-05,-0.36100236046580797,113506.0
2017-02-06,-0.3117267255870434,114746.0
2017-02-07,-0.3413122777514913,118068.0
2017-02-08,-0.3433696888120201,116776.0
2017-02-09,-0.3607480315448322,113402.0
2017-02-10,-0.3635703419696251,113220.0
2017-02-11,-0.36362766630488735,113186.0
2017-02-12,-0.3113415895658297,114136.0
2017-02-13,-0.3527833817397721,113723.0
2017-02-14,-0.3542652935590144,113435.0
2017-02-15,-0.3511828993818388,115011.0
2017-02-16,-0.3362558690438367,117793.0
2017-02-17,-0.37129129350723455,119621.0
2017-02-18,-0.3647022383038657,119237.0
2017-02-19,-0.3669922957976491,119953.0
2017-02-20,-0.38263017944623856,122236.0
2017-02-21,-0.3886553901180567,126710.0
2017-02-22,-0.3566886381153205,126921.0
2017-02-23,-0.3663607371613665,129842.0
2017-02-24,-0.3292197732920154,132465.0
2017-02-25,-0.34763214409685805,119021.0
2017-02-26,-0.33850691943085937,131550.0
2017-02-27,-0.3233720806118353,133308.0
2017-02-28,-0.3613083846687107,134747.0
2017-03-01,-0.36528097072833576,137788.0
2017-03-02,-0.3293410989971034,142931.0
2017-03-03,-0.3606423530725849,146572.0
2017-03-04,-0.3423451231584635,144144.0
2017-03-05,-0.31344953094092104,142160.0
2017-03-06,-0.3432771974922944,148097.0
2017-03-07,-0.3454276844650202,140775.0
2017-03-08,-0.376437926680753,130884.0
2017-03-09,-0.3477037649157261,144758.0
2017-03-10,-0.3252346759247308,126281.0
2017-03-11,-0.3663643215366669,134522.0
2017-03-12,-0.3176351647122474,139310.0
2017-03-13,-0.3209292345131919,141174.0
2017-03-14,-0.3297020523031001,143935.0
2017-03-15,-0.3482677605538111,142555.0
2017-03-16,-0.3376591537184285,132078.0
2017-03-17,-0.3781702648321055,127732.0
2017-03-18,-0.30457444471758743,118881.0
2017-03-19,-0.3555000927808751,123983.0
2017-03-20,-0.36563025050363135,117932.0
2017-03-21,-0.3499943504043616,124226.0
2017-03-22,-0.3884690692144751,122865.0
2017-03-23,-0.3518068723515709,114611.0
2017-03-24,-0.3612993881324688,114536.0
2017-03-25,-0.3555779649080972,106178.0
2017-03-26,-0.3470161460267577,107145.0
2017-03-27,-0.3318183102997167,118017.0
2017-03-28,-0.3445248564935382,114658.0
2017-03-29,-0.3843555328704068,115506.0
2017-03-30,-0.3414997610152091,115078.0
2017-03-31,-0.3469074088529357,120420.0
2017-04-01,-0.3638157109538437,120185.0
2017-04-02,-0.3434611098559527,121269.0
2017-04-03,-0.34852277366178963,127783.0
2017-04-04,-0.3817525606271111,125909.0
2017-04-05,-0.3743995695984219,122931.0
2017-04-06,-0.37618305711538,130836.0
2017-04-07,-0.3722544228154104,131974.0
2017-04-08,-0.3433784039595058,128973.0
2017-04-09,-0.3779549250966585,131130.0
2017-04-10,-0.3804413137607909,132315.0
2017-04-11,-0.3766285572381552,132584.0
2017-04-12,-0.3516055312400299,132432.0
2017-04-13,-0.3816895104679433,126876.0
2017-04-14,-0.3658572275433475,131878.0
2017-04-15,-0.362594136890705,128529.0
2017-04-16,-0.4151252853725592,128155.0
2017-04-17,-0.3724492656173811,132146.0
2017-04-18,-0.3565918025665004,130098.0
2017-04-19,-0.35271606139503603,129682.0
2017-04-20,-0.382818627745201,135649.0
2017-04-21,-0.3763889782722072,135277.0
2017-04-22,-0.3494743453467856,135813.0
2017-04-23,-0.38075632776258,137550.0
2017-04-24,-0.365918248166798,137283.0
2017-04-25,-0.35478174848810906,140115.0
2017-04-26,-0.39095046204291584,142180.0
2017-04-27,-0.40223538736789294,148531.0
2017-04-28,-0.36916805852525975,147757.0
2017-04-29,-0.3844518767313208,146668.0
2017-04-30,-0.3862109989089244,147368.0
2017-05-01,-0.3550322976646148,156053.0
2017-05-02,-0.374428449015017,160380.0
2017-05-03,-0.3620364696529021,168757.0
2017-05-04,-0.3720285355503011,180000.0
2017-05-05,-0.3762171677319556,172305.0
2017-05-06,-0.379106924976332,175887.0
2017-05-07,-0.3914589271706867,176601.0
2017-05-08,-0.3620347660102429,174375.0
2017-05-09,-0.3769910020454191,195542.0
2017-05-10,-0.3899409471546966,203548.0
2017-05-11,-0.3692780588342035,210125.0
2017-05-12,-0.3608054444498769,197841.0
2017-05-13,-0.3722102282342537,201502.0
2017-05-14,-0.3612582490577295,202196.0
