,day,sum
147,2016-03-07,-0.39885386396283595
148,2016-03-06,-0.371448455289829
149,2016-03-05,-0.4013569665896381
150,2016-03-04,-0.40873882680733586
151,2016-03-03,-0.39494694468356345
152,2016-03-02,-0.3608001993401567
153,2016-09-01,-0.2444773047583435
154,2016-08-31,-0.35322668275917457
155,2016-08-30,-0.36313059753337934
156,2016-08-29,-0.35313739534532845
157,2016-08-28,-0.38613312829461477
158,2016-08-27,-0.36350260654561467
159,2016-08-26,-0.36047147308620986
160,2016-08-25,-0.3734230405623786
161,2016-08-24,-0.36709232209878967
162,2016-08-23,-0.36076117266280994
163,2016-08-22,-0.35353952590807125
164,2016-08-21,-0.3753353682010678
165,2016-08-20,-0.357397500442017
166,2016-08-19,-0.3663522625773664
167,2016-08-18,-0.34475749272161077
